Username,Timestamp,location,device
love_boy_uwu,2020-07-11 06:45:36+00:00,,Android
smudgyblobwolf,2020-07-11 06:45:37+00:00,,iPhone
topicsng,2020-07-11 06:45:37+00:00,Nigeria,-
luckkybaba,2020-07-11 06:45:37+00:00,KA,iPhone
loradler,2020-07-11 06:45:37+00:00,New York #GoodTrouble,iPad
darlenesmith02,2020-07-11 06:45:37+00:00,"Culpeper, VA",Android
gudrun_rm,2020-07-11 06:45:37+00:00,,Android
Sentipensares,2020-07-11 06:45:37+00:00,"Dar es Salaam, Tanzania",iPhone
Ganesh90190148,2020-07-11 06:45:38+00:00,Tuticorin ,Android
FalsusInOmnibus,2020-07-11 06:45:38+00:00,,Mobile device
alexavxo,2020-07-11 06:45:38+00:00,rollin up in durango ,iPhone
RACZPATT,2020-07-11 06:45:39+00:00,"Hamburg, NY",iPhone
zin_zah,2020-07-11 06:45:39+00:00,Between Insanity and Outsanity,Mobile device
AdaktiSirley,2020-07-11 06:45:39+00:00,Uruguay,Mobile device
domdyer70,2020-07-11 06:45:39+00:00,UK,iPhone
Sey2S,2020-07-11 06:45:39+00:00,Melbourne,Mobile device
prasannaatalka3,2020-07-11 06:45:40+00:00,,iPhone
mmcmahon695,2020-07-11 06:45:40+00:00,Warrenpoint,Android
IndonesiaAust,2020-07-11 06:45:42+00:00,,Android
AcadPubNews,2020-07-11 06:45:43+00:00,"London, UK",Android
DahAznDeric,2020-07-11 06:45:43+00:00,I play drums and dance,iPhone
JaneAusten93940,2020-07-11 06:45:43+00:00,,Mobile device
leonardi_damian,2020-07-11 06:45:43+00:00,Uk,Mobile device
BenzionTelefus,2020-07-11 06:45:43+00:00,,Android
JPierreBizimana,2020-07-11 06:45:44+00:00,,Android
MalibuStacyMPH,2020-07-11 06:45:44+00:00,"San Diego, USA",iPhone
stephc1967,2020-07-11 06:45:45+00:00,Scotland,iPhone
Wildreamz,2020-07-11 06:45:45+00:00,Singapore,Mobile device
emantothat,2020-07-11 06:45:46+00:00,,iPhone
jayan_arun,2020-07-11 06:45:46+00:00,,Android
Zainab_216,2020-07-11 06:45:46+00:00,INDIA,Android
ScicommBot,2020-07-11 06:45:46+00:00,,-
